Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
Rch2B-3_RM216.1,515424,PF 1,100,221.19,1.73,25.05,247.97
Rch2B-3_RM216.1,515424,PF 2,200,244.29,1.77,25.06,271.11
Rch2B-3_RM216.1,515424,PF 3,300,253.89,1.83,25.07,280.79
Rch2B-3_RM216.1,515424,PF 4,400,269.28,1.95,25.1,296.33
Rch2B-3_RM216.1,515424,PF 5,500,281.2,2.13,25.34,308.67
Rch2B-3_RM216.1,515424,PF 6,600,293.99,2.58,26.44,323.01
Rch2B-3_RM216.1,515424,PF 7,700,305.3,2.86,27.65,335.82
Rch2B-3_RM216.1,515424,PF 8,800,313.9,3.18,27.86,344.94
Rch2B-3_RM216.1,515424,PF 9,900,322.16,3.52,28.06,353.74
Rch2B-3_RM216.1,515424,PF 10,1000,329.86,3.91,28.35,362.12
Rch2B-3_RM216.1,515424,PF 11,1100,334.87,4.47,28.67,368.01
Rch2B-3_RM216.1,515424,PF 12,1200,341.59,4.86,29.02,375.47
Rch2B-3_RM216.1,515424,PF 13,1300,346.69,5.29,29.41,381.39
Rch2B-3_RM216.1,515424,PF 14,1400,351.65,5.68,29.93,387.26
Rch2B-3_RM216.1,515424,PF 15,1500,355.36,6.15,31.07,392.57
Rch2B-3_RM216.1,515424,PF 16,1600,358.47,6.73,31.77,396.97
Rch2B-3_RM216.1,515424,PF 17,1700,361.94,7.43,32.42,401.79
Rch2B-3_RM216.1,515424,PF 18,1800,364.89,8.05,32.89,405.83
Rch2B-3_RM216.1,515424,PF 19,1900,368.06,8.74,33.39,410.18
Rch2B-3_RM216.1,515424,PF 20,2000,371.4,9.65,33.76,414.82
Rch2B-3_RM216.1,515424,PF 21,2100,374.72,10.42,34.21,419.36
Rch2B-3_RM216.1,515424,PF 22,2200,377.87,11.31,34.77,423.95
Rch2B-3_RM216.1,515424,PF 23,2300,380.15,12.37,35.24,427.75
Rch2B-3_RM216.1,515424,PF 24,2400,382.84,13.31,35.76,431.92
