Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
Rch2B-3_RM216.1,453719,PF 29,2900,526.2,169.96,154.62,850.78
Rch2B-3_RM216.1,453719,PF 30,3000,528.9,175.65,158.82,863.37
Rch2B-3_RM216.1,453719,PF 31,3100,531.5,182.04,163.46,877.01
Rch2B-3_RM216.1,453719,PF 32,3200,533.83,187.84,168.21,889.88
Rch2B-3_RM216.1,453719,PF 33,3300,536.2,199.84,172.08,908.12
Rch2B-3_RM216.1,453719,PF 34,3400,538.18,206.09,175.63,919.9
Rch2B-3_RM216.1,453719,PF 35,3500,540.09,211.38,178.93,930.41
Rch2B-3_RM216.1,453719,PF 36,3600,541.78,215.73,182.17,939.68
Rch2B-3_RM216.1,453719,PF 37,3700,543.01,219.23,184.87,947.12
Rch2B-3_RM216.1,453719,PF 38,3800,544.23,222.12,187.77,954.12
Rch2B-3_RM216.1,453719,PF 39,3900,545.29,224.95,190.35,960.59
Rch2B-3_RM216.1,453719,PF 40,4000,546.4,228.24,192.64,967.29
Rch2B-3_RM216.1,453719,PF 41,4100,547.37,231.02,195.26,973.65
Rch2B-3_RM216.1,453719,PF 42,4200,548.2,233.73,198.15,980.08
Rch2B-3_RM216.1,453719,PF 43,4300,549.08,241.43,201.16,991.67
Rch2B-3_RM216.1,453719,PF 44,4400,549.86,243.94,205.6,999.39
Rch2B-3_RM216.1,453719,PF 45,4500,550.64,246.5,207.9,1005.03
,,,,,,,
Rch2B-3_RM216.1,453056,PF 1,100,273.74,0.61,0.03,274.38
Rch2B-3_RM216.1,453056,PF 2,200,296.1,0.62,0.86,297.58
Rch2B-3_RM216.1,453056,PF 3,300,312.2,2.7,1.76,316.65
Rch2B-3_RM216.1,453056,PF 4,400,322.64,2.86,3.2,328.71
Rch2B-3_RM216.1,453056,PF 5,500,331.11,3.44,5.14,339.69
Rch2B-3_RM216.1,453056,PF 6,600,339.27,4.55,8.13,351.94
Rch2B-3_RM216.1,453056,PF 7,700,347.88,7.52,10.83,366.22
Rch2B-3_RM216.1,453056,PF 8,800,356.78,10.6,14.11,381.5
Rch2B-3_RM216.1,453056,PF 9,900,366.45,14.59,17.3,398.34
Rch2B-3_RM216.1,453056,PF 10,1000,376.41,19.71,20.46,416.58
Rch2B-3_RM216.1,453056,PF 11,1100,387.53,24.96,24.23,436.72
Rch2B-3_RM216.1,453056,PF 12,1200,398.49,31.04,29.29,458.81
Rch2B-3_RM216.1,453056,PF 13,1300,408.98,36.24,34.63,479.85
Rch2B-3_RM216.1,453056,PF 14,1400,421.82,42.57,41.05,505.45
Rch2B-3_RM216.1,453056,PF 15,1500,433.8,49.5,47.98,531.27
Rch2B-3_RM216.1,453056,PF 16,1600,444.17,59.38,55.85,559.41
Rch2B-3_RM216.1,453056,PF 17,1700,454.28,68.01,63.45,585.74
Rch2B-3_RM216.1,453056,PF 18,1800,461.98,77.05,71.38,610.41
Rch2B-3_RM216.1,453056,PF 19,1900,470.25,87.49,79.37,637.1
Rch2B-3_RM216.1,453056,PF 20,2000,477.65,98.85,87.39,663.9
Rch2B-3_RM216.1,453056,PF 21,2100,484.53,109.41,94.84,688.79
Rch2B-3_RM216.1,453056,PF 22,2200,490.35,119.22,102.84,712.41
Rch2B-3_RM216.1,453056,PF 23,2300,495.26,128.16,111.73,735.14
Rch2B-3_RM216.1,453056,PF 24,2400,500.5,135.82,119.07,755.39
Rch2B-3_RM216.1,453056,PF 25,2500,505.05,142.34,124.9,772.29
Rch2B-3_RM216.1,453056,PF 26,2600,509.4,148.27,130.77,788.43
Rch2B-3_RM216.1,453056,PF 27,2700,513.11,153.76,139.58,806.45
Rch2B-3_RM216.1,453056,PF 28,2800,516.62,159.21,145.1,820.93
Rch2B-3_RM216.1,453056,PF 29,2900,519.64,164.54,154.25,838.43
Rch2B-3_RM216.1,453056,PF 30,3000,522.33,170.22,158.39,850.94
Rch2B-3_RM216.1,453056,PF 31,3100,524.9,176.61,162.95,864.46
Rch2B-3_RM216.1,453056,PF 32,3200,527.19,182.41,167.39,877
Rch2B-3_RM216.1,453056,PF 33,3300,529.54,194.4,171.12,895.06
Rch2B-3_RM216.1,453056,PF 34,3400,531.51,200.65,174.65,906.81
Rch2B-3_RM216.1,453056,PF 35,3500,533.43,205.94,177.94,917.3
