Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
Reach 4A,337077,PF 1,100,171.48,3.32,1.74,176.54
Reach 4A,337077,PF 2,200,193.97,6.68,4.79,205.43
Reach 4A,337077,PF 3,300,208.14,10.09,7.59,225.83
Reach 4A,337077,PF 4,400,216.62,13.9,9.59,240.11
Reach 4A,337077,PF 5,500,224.11,16.45,12.42,252.97
Reach 4A,337077,PF 6,600,230.66,19.17,15.62,265.45
Reach 4A,337077,PF 7,700,235.56,22.51,18.79,276.85
Reach 4A,337077,PF 8,800,239.13,25.9,22.38,287.42
Reach 4A,337077,PF 9,900,241.98,30.01,25.35,297.34
Reach 4A,337077,PF 10,1000,244.51,34.21,28.26,306.98
Reach 4A,337077,PF 11,1100,246.44,37.97,31.35,315.77
Reach 4A,337077,PF 12,1200,248.31,41.34,35.1,324.75
Reach 4A,337077,PF 13,1300,249.88,44.98,37.98,332.84
Reach 4A,337077,PF 14,1400,250.92,48.82,40.79,340.54
Reach 4A,337077,PF 15,1500,252.09,52.5,43.57,348.16
Reach 4A,337077,PF 16,1600,253.21,56.94,46.37,356.52
Reach 4A,337077,PF 17,1700,254.09,60.17,49.21,363.47
Reach 4A,337077,PF 18,1800,254.61,63.34,52.51,370.45
Reach 4A,337077,PF 19,1900,254.99,66.14,55.31,376.44
Reach 4A,337077,PF 20,2000,255.3,68.78,58.14,382.21
Reach 4A,337077,PF 21,2100,255.59,72.19,60.7,388.48
Reach 4A,337077,PF 22,2200,255.91,76.17,63.39,395.46
Reach 4A,337077,PF 23,2300,256.24,79.31,65.78,401.32
Reach 4A,337077,PF 24,2400,256.52,82.26,68.06,406.84
Reach 4A,337077,PF 25,2500,256.85,85.08,70.36,412.29
Reach 4A,337077,PF 26,2600,257.08,88.14,72.96,418.18
Reach 4A,337077,PF 27,2700,257.25,91.36,75.76,424.37
Reach 4A,337077,PF 28,2800,257.41,93.95,79.04,430.4
Reach 4A,337077,PF 29,2900,257.56,96.76,82.05,436.37
Reach 4A,337077,PF 30,3000,257.67,99.04,84.92,441.63
Reach 4A,337077,PF 31,3100,257.73,101.1,87.71,446.55
Reach 4A,337077,PF 32,3200,257.78,103.54,90.95,452.27
Reach 4A,337077,PF 33,3300,257.84,105.92,94,457.76
Reach 4A,337077,PF 34,3400,257.89,108.11,96.78,462.78
Reach 4A,337077,PF 35,3500,257.94,111.05,99.97,468.96
Reach 4A,337077,PF 36,3600,257.98,113.86,102.7,474.54
Reach 4A,337077,PF 37,3700,258,116.35,105.07,479.42
Reach 4A,337077,PF 38,3800,258.02,118.96,107.22,484.2
Reach 4A,337077,PF 39,3900,258.03,121.36,109.32,488.71
Reach 4A,337077,PF 40,4000,258.04,123.92,111.31,493.27
Reach 4A,337077,PF 41,4100,258.05,126.4,113.21,497.65
Reach 4A,337077,PF 42,4200,258.07,128.69,115.1,501.85
Reach 4A,337077,PF 43,4300,258.08,130.87,116.81,505.76
Reach 4A,337077,PF 44,4400,258.09,133.34,118.48,509.91
Reach 4A,337077,PF 45,4500,258.1,136.1,120.18,514.39
,,,,,,,
Reach 4A,336642,PF 1,100,170.99,3.32,1.74,176.05
Reach 4A,336642,PF 2,200,193.45,6.68,4.79,204.91
Reach 4A,336642,PF 3,300,207.6,10.09,7.59,225.29
Reach 4A,336642,PF 4,400,216.06,13.9,9.59,239.55
Reach 4A,336642,PF 5,500,223.53,16.45,12.42,252.4
Reach 4A,336642,PF 6,600,230.07,19.17,15.62,264.87
Reach 4A,336642,PF 7,700,234.96,22.47,18.61,276.04
Reach 4A,336642,PF 8,800,238.53,25.74,22.02,286.28
Reach 4A,336642,PF 9,900,241.37,29.78,24.9,296.04
Reach 4A,336642,PF 10,1000,243.89,33.9,27.7,305.48
Reach 4A,336642,PF 11,1100,245.8,37.61,30.63,314.04
Reach 4A,336642,PF 12,1200,247.65,40.86,34.19,322.71
Reach 4A,336642,PF 13,1300,249.22,44.45,36.98,330.65
Reach 4A,336642,PF 14,1400,250.26,48.17,39.73,338.16
Reach 4A,336642,PF 15,1500,251.42,51.63,42.47,345.53
Reach 4A,336642,PF 16,1600,252.54,55.88,45.19,353.61
Reach 4A,336642,PF 17,1700,253.41,59.08,47.97,360.47
Reach 4A,336642,PF 18,1800,253.92,62.23,51.18,367.34
Reach 4A,336642,PF 19,1900,254.3,65.02,53.98,373.3
Reach 4A,336642,PF 20,2000,254.61,67.65,56.79,379.05
Reach 4A,336642,PF 21,2100,254.89,71.06,59.31,385.27
Reach 4A,336642,PF 22,2200,255.21,75.03,61.95,392.19
Reach 4A,336642,PF 23,2300,255.53,78.16,64.3,398
Reach 4A,336642,PF 24,2400,255.79,81.11,66.54,403.43
Reach 4A,336642,PF 25,2500,256.12,83.92,68.8,408.83
Reach 4A,336642,PF 26,2600,256.34,86.98,71.39,414.71
Reach 4A,336642,PF 27,2700,256.51,90.2,74.17,420.88
Reach 4A,336642,PF 28,2800,256.67,92.77,77.45,426.9
Reach 4A,336642,PF 29,2900,256.82,95.59,80.45,432.86
Reach 4A,336642,PF 30,3000,256.94,97.86,83.3,438.09
Reach 4A,336642,PF 31,3100,257,99.92,86.07,442.98
Reach 4A,336642,PF 32,3200,257.05,102.35,89.27,448.67
Reach 4A,336642,PF 33,3300,257.1,104.73,92.29,454.12
Reach 4A,336642,PF 34,3400,257.16,106.91,95.01,459.08
Reach 4A,336642,PF 35,3500,257.21,109.85,98.17,465.22
Reach 4A,336642,PF 36,3600,257.24,112.65,100.88,470.78
Reach 4A,336642,PF 37,3700,257.27,115.13,103.23,475.63
Reach 4A,336642,PF 38,3800,257.28,117.74,105.36,480.39
Reach 4A,336642,PF 39,3900,257.3,120.14,107.45,484.89
Reach 4A,336642,PF 40,4000,257.31,122.7,109.42,489.43
Reach 4A,336642,PF 41,4100,257.32,125.17,111.31,493.79
Reach 4A,336642,PF 42,4200,257.33,127.46,113.19,497.98
