Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
LESB,52062,PF 19,1900,176.24,7.22,7.37,190.83
LESB,52062,PF 20,2000,178.88,7.86,8.29,195.03
LESB,52062,PF 21,2100,181,8.66,8.86,198.51
LESB,52062,PF 22,2200,183.43,9.31,9.43,202.17
LESB,52062,PF 23,2300,186.09,10.35,10.26,206.7
LESB,52062,PF 24,2400,188.43,11.45,10.78,210.65
LESB,52062,PF 25,2500,190.33,12.57,11.42,214.33
LESB,52062,PF 26,2600,191.87,13.7,12.12,217.69
LESB,52062,PF 27,2700,193.47,14.98,12.91,221.37
LESB,52062,PF 28,2800,194.98,16.13,14,225.11
LESB,52062,PF 29,2900,196.38,17.04,15.06,228.48
LESB,52062,PF 30,3000,197.89,17.57,15.99,231.45
LESB,52062,PF 31,3100,199.34,18.31,17,234.65
LESB,52062,PF 32,3200,200.66,19.16,17.98,237.8
LESB,52062,PF 33,3300,202,20.03,18.81,240.84
LESB,52062,PF 34,3400,203.4,21.13,20.15,244.68
LESB,52062,PF 35,3500,204.73,22.02,21.95,248.7
LESB,52062,PF 36,3600,206.2,23.2,23.48,252.88
LESB,52062,PF 37,3700,207.31,24.45,25,256.76
LESB,52062,PF 38,3800,208.79,26.66,27.5,262.96
LESB,52062,PF 39,3900,210.06,28.98,30.34,269.38
LESB,52062,PF 40,4000,211.16,31.79,33.88,276.83
LESB,52062,PF 41,4100,212.23,35.38,37.59,285.2
LESB,52062,PF 42,4200,213.2,39.22,41.24,293.66
LESB,52062,PF 43,4300,214.07,43.81,44.9,302.77
LESB,52062,PF 44,4400,214.84,48.3,48.52,311.65
LESB,52062,PF 45,4500,215.51,52.58,53.11,321.2
,,,,,,,
LESB,51604,PF 1,100,76.95,,0.72,77.68
LESB,51604,PF 2,200,87.66,0.01,0.82,88.48
LESB,51604,PF 3,300,97.68,0.15,1.01,98.84
LESB,51604,PF 4,400,105.34,0.41,1.19,106.94
LESB,51604,PF 5,500,111.73,0.74,1.37,113.83
LESB,51604,PF 6,600,118.26,1.03,1.84,121.13
LESB,51604,PF 7,700,125.21,1.14,2.08,128.44
LESB,51604,PF 8,800,130.99,1.44,2.43,134.86
LESB,51604,PF 9,900,136.14,1.78,2.73,140.66
LESB,51604,PF 10,1000,142.92,2.01,3.15,148.08
LESB,51604,PF 11,1100,147.73,2.4,3.46,153.58
LESB,51604,PF 12,1200,152.31,2.86,3.81,158.98
LESB,51604,PF 13,1300,156.33,3.42,4.25,164.01
LESB,51604,PF 14,1400,160.04,3.87,4.61,168.51
LESB,51604,PF 15,1500,163.41,4.54,5.11,173.06
LESB,51604,PF 16,1600,166.51,5.25,5.59,177.36
LESB,51604,PF 17,1700,169.63,5.92,6.13,181.68
LESB,51604,PF 18,1800,172.11,6.44,6.67,185.22
LESB,51604,PF 19,1900,174.94,7.22,7.37,189.52
LESB,51604,PF 20,2000,177.56,7.86,8.29,193.72
LESB,51604,PF 21,2100,179.68,8.66,8.86,197.19
LESB,51604,PF 22,2200,182.1,9.31,9.43,200.84
LESB,51604,PF 23,2300,184.75,10.35,10.26,205.36
LESB,51604,PF 24,2400,187.08,11.45,10.78,209.31
LESB,51604,PF 25,2500,188.98,12.57,11.42,212.98
LESB,51604,PF 26,2600,190.51,13.7,12.12,216.33
LESB,51604,PF 27,2700,192.1,14.98,12.91,220
LESB,51604,PF 28,2800,193.6,16.13,14,223.74
LESB,51604,PF 29,2900,195,17.04,15.06,227.1
LESB,51604,PF 30,3000,196.5,17.57,15.99,230.06
LESB,51604,PF 31,3100,197.94,18.31,17,233.26
LESB,51604,PF 32,3200,199.26,19.16,17.98,236.4
LESB,51604,PF 33,3300,200.59,20.03,18.81,239.43
LESB,51604,PF 34,3400,201.98,21.13,20.15,243.27
LESB,51604,PF 35,3500,203.31,22.02,21.95,247.28
LESB,51604,PF 36,3600,204.78,23.2,23.48,251.45
LESB,51604,PF 37,3700,205.87,24.45,25,255.32
LESB,51604,PF 38,3800,207.35,26.66,27.5,261.51
LESB,51604,PF 39,3900,208.6,28.97,30.33,267.91
LESB,51604,PF 40,4000,209.69,31.76,33.83,275.28
LESB,51604,PF 41,4100,210.75,35.28,37.52,283.56
LESB,51604,PF 42,4200,211.71,38.81,41.1,291.63
LESB,51604,PF 43,4300,212.58,43.01,44.73,300.32
LESB,51604,PF 44,4400,213.34,46.96,48.27,308.57
LESB,51604,PF 45,4500,214.01,51.08,52.59,317.68
,,,,,,,
LESB,51120,PF 1,100,75.84,,0.72,76.57
LESB,51120,PF 2,200,86.51,0.01,0.82,87.34
LESB,51120,PF 3,300,96.52,0.15,1.01,97.69
LESB,51120,PF 4,400,104.17,0.41,1.19,105.77
LESB,51120,PF 5,500,110.54,0.74,1.37,112.65
LESB,51120,PF 6,600,117.06,1.03,1.84,119.93
LESB,51120,PF 7,700,124,1.14,2.08,127.23
LESB,51120,PF 8,800,129.74,1.44,2.43,133.61
LESB,51120,PF 9,900,134.77,1.78,2.73,139.28
LESB,51120,PF 10,1000,141.49,2.01,3.15,146.65
LESB,51120,PF 11,1100,146.22,2.4,3.46,152.08
LESB,51120,PF 12,1200,150.8,2.86,3.81,157.47
LESB,51120,PF 13,1300,154.81,3.42,4.25,162.49
LESB,51120,PF 14,1400,158.51,3.87,4.61,166.98
LESB,51120,PF 15,1500,161.87,4.54,5.11,171.52
LESB,51120,PF 16,1600,164.95,5.25,5.59,175.8
LESB,51120,PF 17,1700,168.06,5.92,6.13,180.12
LESB,51120,PF 18,1800,170.53,6.44,6.67,183.65
LESB,51120,PF 19,1900,173.35,7.22,7.37,187.94
LESB,51120,PF 20,2000,175.97,7.86,8.29,192.12
LESB,51120,PF 21,2100,178.07,8.66,8.86,195.59
LESB,51120,PF 22,2200,180.49,9.31,9.43,199.23
LESB,51120,PF 23,2300,183.13,10.35,10.26,203.73
LESB,51120,PF 24,2400,185.44,11.45,10.78,207.67
LESB,51120,PF 25,2500,187.33,12.57,11.42,211.33
LESB,51120,PF 26,2600,188.85,13.7,12.12,214.67
LESB,51120,PF 27,2700,190.43,14.98,12.91,218.33
LESB,51120,PF 28,2800,191.92,16.13,14,222.06
LESB,51120,PF 29,2900,193.31,17.04,15.06,225.4
LESB,51120,PF 30,3000,194.8,17.57,15.99,228.36
LESB,51120,PF 31,3100,196.23,18.31,17,231.54
LESB,51120,PF 32,3200,197.53,19.16,17.98,234.67
LESB,51120,PF 33,3300,198.85,20.02,18.81,237.68
LESB,51120,PF 34,3400,200.22,21.13,20.09,241.44
LESB,51120,PF 35,3500,201.55,22.01,21.72,245.27
LESB,51120,PF 36,3600,203.01,23.19,23.15,249.35
LESB,51120,PF 37,3700,204.1,24.43,24.66,253.19
LESB,51120,PF 38,3800,205.57,26.55,27.15,259.28
LESB,51120,PF 39,3900,206.82,28.79,29.92,265.52
LESB,51120,PF 40,4000,207.91,31.48,33.31,272.7
LESB,51120,PF 41,4100,208.96,34.78,36.94,280.68
LESB,51120,PF 42,4200,209.92,38.04,40.35,288.31
LESB,51120,PF 43,4300,210.78,42,43.85,296.64
LESB,51120,PF 44,4400,211.55,45.58,47.27,304.4
LESB,51120,PF 45,4500,212.22,49.59,51.47,313.27
,,,,,,,
LESB,50602,PF 1,100,74.95,,0.72,75.68
LESB,50602,PF 2,200,85.47,0.01,0.82,86.3
LESB,50602,PF 3,300,95.39,0.15,1.01,96.56
LESB,50602,PF 4,400,102.92,0.41,1.19,104.52
LESB,50602,PF 5,500,109.22,0.74,1.37,111.32
LESB,50602,PF 6,600,115.7,1.03,1.84,118.56
LESB,50602,PF 7,700,122.6,1.14,2.08,125.82
LESB,50602,PF 8,800,128.25,1.44,2.43,132.12
LESB,50602,PF 9,900,133.14,1.78,2.73,137.65
LESB,50602,PF 10,1000,139.8,2.01,3.15,144.96
LESB,50602,PF 11,1100,144.44,2.4,3.46,150.3
LESB,50602,PF 12,1200,149,2.86,3.81,155.67
LESB,50602,PF 13,1300,152.98,3.42,4.25,160.66
LESB,50602,PF 14,1400,156.64,3.87,4.61,165.11
LESB,50602,PF 15,1500,159.96,4.54,5.11,169.61
LESB,50602,PF 16,1600,163.02,5.25,5.59,173.86
LESB,50602,PF 17,1700,166.11,5.92,6.13,178.16
LESB,50602,PF 18,1800,168.56,6.44,6.67,181.67
LESB,50602,PF 19,1900,171.35,7.22,7.37,185.94
LESB,50602,PF 20,2000,173.94,7.86,8.29,190.1
LESB,50602,PF 21,2100,176.03,8.66,8.86,193.54
LESB,50602,PF 22,2200,178.43,9.31,9.43,197.17
LESB,50602,PF 23,2300,181.06,10.35,10.26,201.66
LESB,50602,PF 24,2400,183.36,11.45,10.78,205.59
LESB,50602,PF 25,2500,185.23,12.57,11.42,209.23
LESB,50602,PF 26,2600,186.75,13.7,12.12,212.56
LESB,50602,PF 27,2700,188.31,14.98,12.91,216.21
LESB,50602,PF 28,2800,189.79,16.13,14,219.92
