Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Rch2A_RM228.8,580899,100,3.55,2.72,,2.72,,0.39,,0.39,,189.19,185.64
Rch2A_RM228.8,580899,200,4,3,,3,,0.67,,0.67,,189.64,185.64
Rch2A_RM228.8,580899,300,4.43,3.24,,3.24,,0.88,,0.88,,190.07,185.64
Rch2A_RM228.8,580899,400,4.79,3.5,,3.5,,1.05,,1.05,,190.43,185.64
Rch2A_RM228.8,580899,500,5.14,3.64,,3.64,,1.19,,1.19,,190.78,185.64
Rch2A_RM228.8,580899,600,5.45,3.8,,3.8,,1.31,,1.31,,191.09,185.64
Rch2A_RM228.8,580899,700,5.69,4,,4,,1.44,,1.44,,191.33,185.64
Rch2A_RM228.8,580899,800,5.92,4.19,,4.19,,1.56,,1.56,,191.56,185.64
Rch2A_RM228.8,580899,900,6.14,4.37,,4.37,,1.66,,1.66,,191.78,185.64
Rch2A_RM228.8,580899,1000,6.35,4.54,,4.54,,1.76,,1.76,,191.99,185.64
Rch2A_RM228.8,580899,1100,6.57,4.72,,4.72,,1.85,,1.85,,192.21,185.64
Rch2A_RM228.8,580899,1200,6.68,4.8,,4.8,,1.97,,1.97,,192.32,185.64
Rch2A_RM228.8,580899,1300,6.88,4.96,,4.96,,2.05,,2.05,,192.52,185.64
Rch2A_RM228.8,580899,1400,7.08,5.12,,5.12,,2.12,,2.12,,192.72,185.64
Rch2A_RM228.8,580899,1500,7.28,5.28,,5.28,,2.19,,2.19,,192.92,185.64
Rch2A_RM228.8,580899,1600,7.46,5.42,,5.42,,2.25,,2.25,,193.1,185.64
Rch2A_RM228.8,580899,1700,7.62,5.54,,5.54,,2.32,,2.32,,193.26,185.64
Rch2A_RM228.8,580899,1800,7.79,5.59,,5.59,,2.39,,2.39,,193.43,185.64
Rch2A_RM228.8,580899,1900,7.97,5.55,,5.55,,2.44,,2.44,,193.61,185.64
Rch2A_RM228.8,580899,2000,8.13,5.62,,5.62,,2.5,,2.5,,193.77,185.64
Rch2A_RM228.8,580899,2100,8.16,5.62,,5.62,,2.61,,2.61,,193.8,185.64
Rch2A_RM228.8,580899,2200,8.33,5.69,,5.69,,2.65,,2.65,,193.97,185.64
Rch2A_RM228.8,580899,2300,8.49,5.78,,5.78,,2.7,,2.7,,194.13,185.64
Rch2A_RM228.8,580899,2400,8.65,5.9,,5.9,,2.74,,2.74,,194.29,185.64
Rch2A_RM228.8,580899,2500,8.8,5.85,,5.85,,2.78,,2.78,,194.44,185.64
Rch2A_RM228.8,580899,2600,8.95,3.14,0.08,5.83,,2.79,0.11,2.82,,194.59,185.64
Rch2A_RM228.8,580899,2700,9.08,2.96,0.19,5.78,,2.77,0.2,2.85,,194.72,185.64
Rch2A_RM228.8,580899,2800,9.21,2.88,0.28,5.85,,2.75,0.26,2.89,,194.85,185.64
Rch2A_RM228.8,580899,2900,9.33,2.84,0.37,5.92,,2.73,0.31,2.92,,194.97,185.64
Rch2A_RM228.8,580899,3000,9.44,2.84,0.45,5.99,,2.72,0.36,2.95,,195.08,185.64
Rch2A_RM228.8,580899,3100,9.55,2.87,0.55,6.06,,2.7,0.41,2.98,,195.19,185.64
Rch2A_RM228.8,580899,3200,9.67,2.87,0.62,6.12,,2.68,0.45,3.01,,195.31,185.64
Rch2A_RM228.8,580899,3300,9.8,2.91,0.73,6.2,,2.63,0.49,3.01,,195.44,185.64
Rch2A_RM228.8,580899,3400,9.93,2.95,0.82,6.27,,2.6,0.53,3.02,,195.57,185.64
Rch2A_RM228.8,580899,3500,10.04,3,0.9,6.34,,2.58,0.57,3.04,,195.68,185.64
Rch2A_RM228.8,580899,3600,10.14,3.03,0.97,6.39,,2.56,0.6,3.05,,195.78,185.64
Rch2A_RM228.8,580899,3700,10.24,3,1.01,6.45,,2.55,0.62,3.07,,195.88,185.64
Rch2A_RM228.8,580899,3800,10.34,2.99,1.05,6.49,,2.53,0.65,3.09,,195.98,185.64
Rch2A_RM228.8,580899,3900,10.43,3.02,1.11,6.54,,2.52,0.67,3.11,,196.07,185.64
Rch2A_RM228.8,580899,4000,10.52,3.06,1.18,6.58,,2.51,0.69,3.12,,196.16,185.64
Rch2A_RM228.8,580899,4100,10.61,3.07,1.23,6.62,0.04,2.5,0.72,3.14,0.07,196.25,185.64
Rch2A_RM228.8,580899,4200,10.7,3.04,1.26,6.68,0.09,2.49,0.73,3.16,0.12,196.34,185.64
Rch2A_RM228.8,580899,4300,10.78,3.06,1.31,6.74,0.14,2.48,0.73,3.18,0.17,196.42,185.64
Rch2A_RM228.8,580899,4400,10.86,3.09,1.37,6.8,0.19,2.47,0.73,3.2,0.21,196.5,185.64
Rch2A_RM228.8,580899,4500,10.94,3.15,1.44,6.86,0.23,2.47,0.76,3.22,0.24,196.58,185.64
,,,,,,,,,,,,,
Rch2A_RM228.8,580452,100,1.33,0.44,,0.44,,3.8,,3.8,,188.89,187.56
Rch2A_RM228.8,580452,200,1.77,0.62,,0.62,,3.36,,3.36,,189.33,187.56
Rch2A_RM228.8,580452,300,2.23,0.83,,0.83,,2.66,,2.66,,189.79,187.56
Rch2A_RM228.8,580452,400,2.59,1.11,,1.11,,2.43,,2.43,,190.15,187.56
Rch2A_RM228.8,580452,500,2.95,1.45,,1.45,,2.29,,2.29,,190.51,187.56
Rch2A_RM228.8,580452,600,3.25,1.73,,1.73,,2.26,,2.26,,190.81,187.56
Rch2A_RM228.8,580452,700,3.49,1.95,,1.95,,2.32,,2.32,,191.05,187.56
Rch2A_RM228.8,580452,800,3.71,2.16,,2.16,,2.39,,2.39,,191.27,187.56
Rch2A_RM228.8,580452,900,3.92,2.36,,2.36,,2.44,,2.44,,191.48,187.56
