Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Reach4B1,265569,1700,13.6,5.12,1.12,9.67,2.28,2.08,0.64,2.45,1.03,109.73,96.13
Reach4B1,265569,1800,14.17,5.23,1.36,10.23,2.54,1.98,0.68,2.37,1.04,110.3,96.13
Reach4B1,265569,1900,14.76,5.41,1.56,10.82,2.87,1.87,0.69,2.29,1.05,110.89,96.13
Reach4B1,265569,2000,15.19,5.59,1.82,11.25,3.12,1.82,0.73,2.24,1.08,111.32,96.13
Reach4B1,265569,2100,15.79,5.76,2.03,11.86,3.41,1.72,0.73,2.16,1.05,111.92,96.13
Reach4B1,265569,2200,16.44,4.62,2.07,12.51,3.64,0.92,0.47,1.41,0.68,112.57,96.13
Reach4B1,265569,2300,17.16,5.2,2.05,13.22,4.36,0.83,0.4,1.25,0.66,113.29,96.13
Reach4B1,265569,2400,17.82,5.73,2.22,13.89,5.02,0.76,0.37,1.14,0.63,113.95,96.13
Reach4B1,265569,2500,18.47,8.63,9.34,14.54,5.68,0.17,0.17,0.21,0.12,114.6,96.13
Reach4B1,265569,2600,19.16,9.31,10.02,15.22,6.36,0.16,0.17,0.2,0.12,115.29,96.13
Reach4B1,265569,2700,19.81,9.96,10.67,15.87,7.01,0.16,0.16,0.19,0.12,115.94,96.13
Reach4B1,265569,2800,20.54,10.69,11.4,16.6,7.74,0.15,0.16,0.18,0.12,116.67,96.13
Reach4B1,265569,2900,21.34,11.49,12.2,17.4,8.54,0.15,0.15,0.17,0.12,117.47,96.13
Reach4B1,265569,3000,22.12,12.28,12.99,18.19,9.33,0.14,0.15,0.17,0.12,118.25,96.13
Reach4B1,265569,3100,22.9,13.06,13.77,18.97,10.11,0.14,0.14,0.16,0.11,119.03,96.13
Reach4B1,265569,3200,23.78,13.93,14.64,19.84,10.98,0.13,0.14,0.15,0.11,119.91,96.13
Reach4B1,265569,3300,24.62,14.78,15.49,20.69,11.83,0.13,0.13,0.15,0.11,120.75,96.13
Reach4B1,265569,3400,25.57,15.73,16.43,21.64,12.78,0.12,0.13,0.14,0.11,121.7,96.13
Reach4B1,265569,3500,26.59,16.74,17.45,22.65,13.79,0.12,0.12,0.13,0.1,122.72,96.13
Reach4B1,265569,3600,27.47,17.62,18.33,23.53,14.67,0.12,0.12,0.13,0.1,123.6,96.13
Reach4B1,265569,3700,28.49,18.65,19.35,24.56,15.7,0.11,0.12,0.13,0.1,124.62,96.13
Reach4B1,265569,3800,29.61,19.76,20.47,25.67,16.81,0.11,0.11,0.12,0.1,125.74,96.13
Reach4B1,265569,3900,30.33,20.49,21.2,26.4,17.54,0.11,0.11,0.12,0.1,126.46,96.13
Reach4B1,265569,4000,31.37,21.52,22.23,27.43,18.57,0.11,0.11,0.12,0.1,127.5,96.13
Reach4B1,265569,4100,32.53,22.69,23.4,28.6,19.74,0.1,0.11,0.11,0.09,128.66,96.13
Reach4B1,265569,4200,33.68,23.83,24.54,29.74,20.88,0.1,0.1,0.11,0.09,129.81,96.13
Reach4B1,265569,4300,34.79,24.95,25.65,30.86,22,0.1,0.1,0.11,0.09,130.92,96.13
Reach4B1,265569,4400,35.99,26.15,26.86,32.06,23.2,0.1,0.1,0.1,0.09,132.12,96.13
Reach4B1,265569,4500,37.23,27.38,28.09,33.29,24.43,0.09,0.1,0.1,0.09,133.36,96.13
,,,,,,,,,,,,,
Reach4B1,265567,Culvert,,,,,,,,,,,
,,,,,,,,,,,,,
Reach4B1,265518,100,2.92,2.89,,2.89,,1.15,,1.15,,98.72,95.8
Reach4B1,265518,200,4.19,4.14,,4.14,,1.6,,1.6,,99.99,95.8
Reach4B1,265518,300,5.05,4.99,,4.99,,1.98,,1.98,,100.85,95.8
Reach4B1,265518,400,5.9,5.82,,5.82,,2.26,,2.26,,101.7,95.8
Reach4B1,265518,500,6.6,6.5,,6.5,,2.52,,2.52,,102.4,95.8
Reach4B1,265518,600,7.18,7.07,,7.07,,2.77,,2.77,,102.98,95.8
Reach4B1,265518,700,7.66,7.54,,7.54,,3.03,,3.03,,103.46,95.8
Reach4B1,265518,800,8.07,7.93,,7.93,,3.29,,3.29,,103.87,95.8
Reach4B1,265518,900,8.43,8.28,,8.28,,3.53,,3.53,,104.23,95.8
Reach4B1,265518,1000,8.8,8.64,,8.64,,3.76,,3.76,,104.6,95.8
Reach4B1,265518,1100,9.05,8.88,,8.88,,4.02,,4.02,,104.85,95.8
Reach4B1,265518,1200,9.33,9.16,,9.16,,4.25,,4.25,,105.13,95.8
