Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
Mariposa Bypass,4348,PF 2,200,13.72,0.09,0.02,13.84
Mariposa Bypass,4348,PF 3,300,14.74,0.46,0.35,15.55
Mariposa Bypass,4348,PF 4,400,15.21,0.7,0.89,16.81
Mariposa Bypass,4348,PF 5,500,15.43,0.9,1.65,17.98
Mariposa Bypass,4348,PF 6,600,15.53,1.26,1.95,18.74
Mariposa Bypass,4348,PF 7,700,15.56,1.46,2.04,19.06
Mariposa Bypass,4348,PF 8,800,15.57,1.71,2.13,19.41
Mariposa Bypass,4348,PF 9,900,15.58,1.93,2.47,19.99
Mariposa Bypass,4348,PF 10,1000,15.59,2.3,3.16,21.05
Mariposa Bypass,4348,PF 11,1100,15.59,2.54,3.73,21.86
Mariposa Bypass,4348,PF 12,1200,15.59,2.73,4.19,22.51
Mariposa Bypass,4348,PF 13,1300,15.6,2.86,4.91,23.37
Mariposa Bypass,4348,PF 14,1400,15.6,3.11,5.83,24.53
Mariposa Bypass,4348,PF 15,1500,15.6,3.61,6.76,25.97
Mariposa Bypass,4348,PF 16,1600,15.61,4.21,7.92,27.74
Mariposa Bypass,4348,PF 17,1700,15.61,4.93,9.12,29.65
Mariposa Bypass,4348,PF 18,1800,15.61,6.07,10.45,32.12
Mariposa Bypass,4348,PF 19,1900,15.61,6.73,12.04,34.38
Mariposa Bypass,4348,PF 20,2000,15.61,7.33,14.05,36.98
Mariposa Bypass,4348,PF 21,2100,15.61,8.06,16.21,39.88
Mariposa Bypass,4348,PF 22,2200,15.61,8.8,18.78,43.18
Mariposa Bypass,4348,PF 23,2300,15.61,9.32,21.36,46.28
Mariposa Bypass,4348,PF 24,2400,15.61,9.79,23.93,49.33
Mariposa Bypass,4348,PF 25,2500,15.61,10.16,26.94,52.71
Mariposa Bypass,4348,PF 26,2600,15.61,10.39,30.35,56.35
Mariposa Bypass,4348,PF 27,2700,15.61,10.74,34.19,60.54
Mariposa Bypass,4348,PF 28,2800,15.61,11.11,37.78,64.5
Mariposa Bypass,4348,PF 29,2900,15.61,11.49,41.14,68.24
