Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Reach4B2,154065,100,4.95,3.9,0.29,4.06,0.21,0.23,0.06,0.23,0.05,80.01,75.06
Reach4B2,154065,200,6.06,4.71,0.89,5.18,0.87,0.36,0.14,0.36,0.12,81.12,75.06
Reach4B2,154065,300,6.86,5.38,1.43,5.98,1.42,0.46,0.2,0.47,0.17,81.92,75.06
Reach4B2,154065,400,7.43,5.84,1.78,6.55,1.77,0.55,0.25,0.57,0.22,82.49,75.06
Reach4B2,154065,500,7.91,6.13,1.83,7.03,2.06,0.64,0.29,0.66,0.26,82.97,75.06
Reach4B2,154065,600,8.35,6.02,1.42,7.46,2.32,0.71,0.3,0.74,0.3,83.41,75.06
Reach4B2,154065,700,8.72,5.96,1.37,7.84,2.53,0.78,0.32,0.82,0.34,83.78,75.06
Reach4B2,154065,800,9.05,5.78,1.3,8.16,2.71,0.84,0.33,0.89,0.37,84.11,75.06
Reach4B2,154065,900,9.34,5.58,1.27,8.46,2.88,0.9,0.33,0.97,0.41,84.4,75.06
Reach4B2,154065,1000,9.62,5.33,1.25,8.74,3.03,0.95,0.33,1.03,0.44,84.68,75.06
Reach4B2,154065,1100,9.88,5.19,1.3,9,3.18,1,0.33,1.1,0.47,84.94,75.06
Reach4B2,154065,1200,10.12,5.11,1.38,9.24,3.31,1.04,0.33,1.16,0.5,85.18,75.06
Reach4B2,154065,1300,10.35,4.97,1.41,9.47,3.41,1.07,0.34,1.22,0.52,85.41,75.06
Reach4B2,154065,1400,10.57,4.8,1.43,9.69,3.46,1.1,0.36,1.27,0.54,85.63,75.06
Reach4B2,154065,1500,10.79,4.79,1.53,9.9,3.51,1.13,0.36,1.33,0.56,85.85,75.06
Reach4B2,154065,1600,10.99,4.94,1.71,10.11,3.56,1.16,0.39,1.38,0.58,86.05,75.06
Reach4B2,154065,1700,11.18,4.81,1.71,10.29,3.62,1.18,0.41,1.42,0.6,86.24,75.06
Reach4B2,154065,1800,11.36,3.97,1.44,10.47,1.49,1.2,0.43,1.47,0.59,86.42,75.06
Reach4B2,154065,1900,11.53,3.67,1.39,10.65,1.29,1.21,0.44,1.51,0.57,86.59,75.06
Reach4B2,154065,2000,11.69,3.4,1.34,10.81,1.26,1.22,0.45,1.55,0.55,86.75,75.06
