Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
LESB,55105,1900,16.71,11.57,,12.67,0.39,0.75,,0.75,0.07,90.86,74.15
LESB,55105,2000,16.92,11.15,,12.75,0.43,0.78,,0.78,0.08,91.07,74.15
LESB,55105,2100,17.1,10.81,0.03,12.88,0.48,0.8,0.01,0.81,0.09,91.25,74.15
LESB,55105,2200,17.29,10.88,0.14,13.07,0.65,0.83,0.04,0.83,0.11,91.44,74.15
LESB,55105,2300,17.47,10.9,0.23,13.24,0.79,0.85,0.05,0.86,0.12,91.62,74.15
LESB,55105,2400,17.64,10.56,0.19,13.42,0.86,0.87,0.06,0.89,0.13,91.79,74.15
LESB,55105,2500,17.8,10.52,0.28,13.58,1,0.9,0.07,0.91,0.15,91.95,74.15
LESB,55105,2600,17.96,10.42,0.33,13.74,1.14,0.92,0.08,0.94,0.17,92.11,74.15
LESB,55105,2700,18.12,10.33,0.4,13.9,1.28,0.94,0.09,0.96,0.19,92.27,74.15
LESB,55105,2800,18.28,10.05,0.41,14.06,1.41,0.96,0.09,0.98,0.2,92.43,74.15
LESB,55105,2900,18.43,10,0.51,14.21,1.52,0.98,0.11,1.01,0.22,92.58,74.15
LESB,55105,3000,18.58,9.95,0.6,14.36,1.64,1,0.12,1.03,0.23,92.73,74.15
LESB,55105,3100,18.73,9.68,0.61,14.5,1.74,1.01,0.12,1.05,0.24,92.88,74.15
LESB,55105,3200,18.87,9.58,0.68,14.65,1.85,1.03,0.13,1.07,0.26,93.02,74.15
LESB,55105,3300,19.01,9.49,0.75,14.79,1.95,1.05,0.14,1.09,0.27,93.16,74.15
LESB,55105,3400,19.16,9.31,0.79,14.93,2.04,1.06,0.15,1.12,0.28,93.31,74.15
LESB,55105,3500,19.3,9.31,0.89,15.08,2.15,1.08,0.16,1.13,0.29,93.45,74.15
LESB,55105,3600,19.44,9.1,0.9,15.22,2.27,1.09,0.18,1.15,0.31,93.59,74.15
LESB,55105,3700,19.57,9.08,0.98,15.35,2.38,1.11,0.18,1.17,0.32,93.72,74.15
LESB,55105,3800,19.72,8.75,1.01,15.5,2.29,1.12,0.18,1.19,0.33,93.87,74.15
LESB,55105,3900,19.85,8.58,1.09,15.63,2.16,1.13,0.2,1.21,0.35,94,74.15
LESB,55105,4000,19.98,8.24,1.11,15.76,2.02,1.14,0.21,1.23,0.35,94.13,74.15
LESB,55105,4100,20.1,7.87,1.1,15.88,1.93,1.15,0.22,1.25,0.29,94.25,74.15
LESB,55105,4200,20.22,7.47,1.1,16,1.81,1.16,0.21,1.27,0.3,94.37,74.15
LESB,55105,4300,20.33,7.2,1.16,16.11,1.67,1.17,0.21,1.29,0.3,94.48,74.15
LESB,55105,4400,20.44,7.22,1.27,16.22,1.7,1.18,0.23,1.31,0.3,94.59,74.15
LESB,55105,4500,20.55,7.26,1.37,16.33,1.76,1.19,0.24,1.33,0.29,94.7,74.15
,,,,,,,,,,,,,
LESB,54849,100,6.59,5.53,,5.53,,0.13,,0.13,,84.73,78.14
LESB,54849,200,7.2,6.07,,6.07,,0.24,,0.24,,85.34,78.14
LESB,54849,300,7.81,6.58,,6.58,,0.32,,0.32,,85.95,78.14
LESB,54849,400,8.36,7.04,,7.04,,0.39,,0.39,,86.5,78.14
LESB,54849,500,8.82,7.4,,7.4,,0.46,,0.46,,86.96,78.14
LESB,54849,600,9.21,7.72,,7.72,,0.53,,0.53,,87.35,78.14
LESB,54849,700,9.56,8,,8,,0.59,,0.59,,87.7,78.14
LESB,54849,800,9.89,8.26,,8.26,,0.64,,0.64,,88.03,78.14
LESB,54849,900,10.21,8.52,,8.52,,0.7,,0.7,,88.35,78.14
LESB,54849,1000,10.5,8.75,,8.75,,0.75,,0.75,,88.64,78.14
LESB,54849,1100,10.78,8.96,,8.96,,0.8,,0.8,,88.92,78.14
LESB,54849,1200,11.05,9.15,,9.15,,0.85,,0.85,,89.19,78.14
LESB,54849,1300,11.3,9.29,,9.29,,0.89,,0.89,,89.44,78.14
LESB,54849,1400,11.55,9.44,,9.44,,0.94,,0.94,,89.69,78.14
LESB,54849,1500,11.79,9.38,,9.38,,0.98,,0.98,,89.93,78.14
LESB,54849,1600,12.04,9.29,,9.29,,1.01,,1.01,,90.18,78.14
LESB,54849,1700,12.28,9.13,,9.13,,1.05,,1.05,,90.42,78.14
LESB,54849,1800,12.49,9.18,,9.18,,1.09,,1.09,,90.63,78.14
LESB,54849,1900,12.71,9.19,,9.19,,1.12,,1.12,,90.85,78.14
LESB,54849,2000,12.91,9.27,,9.27,,1.15,,1.15,,91.05,78.14
LESB,54849,2100,13.09,9.36,,9.36,,1.19,,1.19,,91.23,78.14
LESB,54849,2200,13.28,9.43,,9.43,,1.22,,1.22,,91.42,78.14
LESB,54849,2300,13.46,9.5,,9.5,,1.25,,1.25,,91.6,78.14
LESB,54849,2400,13.63,9.56,,9.56,,1.28,,1.28,,91.77,78.14
LESB,54849,2500,13.79,9.64,,9.64,,1.31,,1.31,,91.93,78.14
LESB,54849,2600,13.95,9.71,,9.71,,1.34,,1.34,,92.09,78.14
LESB,54849,2700,14.11,9.77,,9.77,,1.37,,1.37,,92.25,78.14
LESB,54849,2800,14.26,9.47,,9.83,0.04,1.4,,1.4,0.03,92.4,78.14
LESB,54849,2900,14.41,9.17,,9.89,0.13,1.43,,1.43,0.08,92.55,78.14
LESB,54849,3000,14.56,9.17,,9.98,0.25,1.45,,1.46,0.12,92.7,78.14
LESB,54849,3100,14.71,9.08,,10.07,0.33,1.48,,1.48,0.15,92.85,78.14
LESB,54849,3200,14.85,8.96,,10.15,0.4,1.5,,1.51,0.16,92.99,78.14
LESB,54849,3300,14.99,8.97,,10.23,0.5,1.52,,1.53,0.19,93.13,78.14
LESB,54849,3400,15.14,8.74,,10.3,0.52,1.55,,1.56,0.2,93.28,78.14
LESB,54849,3500,15.28,8.71,,10.31,0.63,1.57,,1.58,0.23,93.42,78.14
LESB,54849,3600,15.42,8.71,,10.36,0.74,1.58,,1.6,0.26,93.56,78.14
