Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Rch2B-3_RM216.1,455739,1400,2.63,2.63,,2.63,,1.72,,1.72,,145.43,142.8
Rch2B-3_RM216.1,455739,1500,2.96,2.96,,2.96,,1.64,,1.64,,145.76,142.8
Rch2B-3_RM216.1,455739,1600,3.26,3.26,,3.26,,1.59,,1.59,,146.06,142.8
Rch2B-3_RM216.1,455739,1700,3.54,3.54,,3.54,,1.55,,1.55,,146.34,142.8
Rch2B-3_RM216.1,455739,1800,3.81,3.81,,3.81,,1.53,,1.53,,146.61,142.8
Rch2B-3_RM216.1,455739,1900,4.08,4.08,,4.08,,1.5,,1.5,,146.88,142.8
Rch2B-3_RM216.1,455739,2000,4.33,4.33,,4.33,,1.49,,1.49,,147.13,142.8
Rch2B-3_RM216.1,455739,2100,4.57,4.57,,4.57,,1.48,,1.48,,147.37,142.8
Rch2B-3_RM216.1,455739,2200,4.81,4.81,,4.81,,1.48,,1.48,,147.61,142.8
Rch2B-3_RM216.1,455739,2300,5.06,5.06,,5.06,,1.47,,1.47,,147.86,142.8
Rch2B-3_RM216.1,455739,2400,5.31,5.31,,5.31,,1.46,,1.46,,148.11,142.8
Rch2B-3_RM216.1,455739,2500,5.53,5.53,,5.53,,1.46,,1.46,,148.33,142.8
Rch2B-3_RM216.1,455739,2600,5.72,5.72,,5.72,,1.47,,1.47,,148.52,142.8
Rch2B-3_RM216.1,455739,2700,5.91,5.91,,5.91,,1.48,,1.48,,148.71,142.8
Rch2B-3_RM216.1,455739,2800,6.09,6.09,,6.09,,1.48,,1.48,,148.89,142.8
Rch2B-3_RM216.1,455739,2900,6.27,6.27,,6.27,,1.49,,1.49,,149.07,142.8
Rch2B-3_RM216.1,455739,3000,6.44,6.44,,6.44,,1.51,,1.51,,149.24,142.8
Rch2B-3_RM216.1,455739,3100,6.6,6.6,,6.6,,1.52,,1.52,,149.4,142.8
Rch2B-3_RM216.1,455739,3200,6.76,6.76,,6.76,,1.53,,1.53,,149.56,142.8
Rch2B-3_RM216.1,455739,3300,6.91,6.91,,6.91,,1.54,,1.54,,149.71,142.8
Rch2B-3_RM216.1,455739,3400,7.07,7.07,,7.07,,1.55,,1.55,,149.87,142.8
Rch2B-3_RM216.1,455739,3500,7.21,7.21,,7.21,,1.57,,1.57,,150.01,142.8
Rch2B-3_RM216.1,455739,3600,7.35,7.35,,7.35,,1.58,,1.58,,150.15,142.8
Rch2B-3_RM216.1,455739,3700,7.48,7.48,,7.48,,1.6,,1.6,,150.28,142.8
Rch2B-3_RM216.1,455739,3800,7.61,7.61,,7.61,,1.61,,1.61,,150.41,142.8
Rch2B-3_RM216.1,455739,3900,7.74,7.74,,7.74,,1.63,,1.63,,150.54,142.8
Rch2B-3_RM216.1,455739,4000,7.86,7.86,,7.86,,1.64,,1.64,,150.66,142.8
Rch2B-3_RM216.1,455739,4100,7.98,7.98,,7.98,,1.66,,1.66,,150.78,142.8
Rch2B-3_RM216.1,455739,4200,8.09,8.09,,8.09,,1.68,,1.68,,150.89,142.8
Rch2B-3_RM216.1,455739,4300,8.21,8.21,,8.21,,1.69,,1.69,,151.01,142.8
Rch2B-3_RM216.1,455739,4400,8.32,8.32,,8.32,,1.71,,1.71,,151.12,142.8
Rch2B-3_RM216.1,455739,4500,8.43,8.43,,8.43,,1.73,,1.73,,151.23,142.8
,,,,,,,,,,,,,
Rch2B-3_RM216.1,455738,100,0.72,0.72,,0.72,,0.41,,0.41,,139.32,138.6
Rch2B-3_RM216.1,455738,200,1.58,1.58,,1.58,,0.38,,0.38,,140.18,138.6
Rch2B-3_RM216.1,455738,300,2.27,2.27,,2.27,,0.39,,0.39,,140.87,138.6
Rch2B-3_RM216.1,455738,400,2.85,2.85,,2.85,,0.42,,0.42,,141.45,138.6
Rch2B-3_RM216.1,455738,500,3.37,3.37,,3.37,,0.44,,0.44,,141.97,138.6
Rch2B-3_RM216.1,455738,600,3.85,3.85,,3.85,,0.47,,0.47,,142.45,138.6
Rch2B-3_RM216.1,455738,700,4.29,4.29,,4.29,,0.49,,0.49,,142.89,138.6
Rch2B-3_RM216.1,455738,800,4.7,4.7,,4.7,,0.51,,0.51,,143.3,138.6
Rch2B-3_RM216.1,455738,900,5.1,5.1,,5.1,,0.53,,0.53,,143.7,138.6
Rch2B-3_RM216.1,455738,1000,5.49,5.49,,5.49,,0.54,,0.54,,144.09,138.6
Rch2B-3_RM216.1,455738,1100,5.86,5.86,,5.86,,0.56,,0.56,,144.46,138.6
Rch2B-3_RM216.1,455738,1200,6.21,6.21,,6.21,,0.58,,0.58,,144.81,138.6
Rch2B-3_RM216.1,455738,1300,6.53,6.53,,6.53,,0.59,,0.59,,145.13,138.6
Rch2B-3_RM216.1,455738,1400,6.85,6.85,,6.85,,0.61,,0.61,,145.45,138.6
Rch2B-3_RM216.1,455738,1500,7.17,7.17,,7.17,,0.62,,0.62,,145.77,138.6
Rch2B-3_RM216.1,455738,1600,7.47,7.47,,7.47,,0.64,,0.64,,146.07,138.6
Rch2B-3_RM216.1,455738,1700,7.75,7.75,,7.75,,0.65,,0.65,,146.35,138.6
Rch2B-3_RM216.1,455738,1800,8.02,8.02,,8.02,,0.67,,0.67,,146.62,138.6
Rch2B-3_RM216.1,455738,1900,8.3,8.3,,8.3,,0.68,,0.68,,146.9,138.6
Rch2B-3_RM216.1,455738,2000,8.55,8.55,,8.55,,0.7,,0.7,,147.15,138.6
Rch2B-3_RM216.1,455738,2100,8.78,8.78,,8.78,,0.71,,0.71,,147.38,138.6
Rch2B-3_RM216.1,455738,2200,9.03,9.03,,9.03,,0.73,,0.73,,147.63,138.6
Rch2B-3_RM216.1,455738,2300,9.27,9.27,,9.27,,0.74,,0.74,,147.87,138.6
Rch2B-3_RM216.1,455738,2400,9.52,9.52,,9.52,,0.75,,0.75,,148.12,138.6
Rch2B-3_RM216.1,455738,2500,9.74,9.74,,9.74,,0.77,,0.77,,148.34,138.6
Rch2B-3_RM216.1,455738,2600,9.93,9.93,,9.93,,0.78,,0.78,,148.53,138.6
Rch2B-3_RM216.1,455738,2700,10.12,10.12,,10.12,,0.8,,0.8,,148.72,138.6
Rch2B-3_RM216.1,455738,2800,10.31,10.31,,10.31,,0.81,,0.81,,148.91,138.6
Rch2B-3_RM216.1,455738,2900,10.48,10.48,,10.48,,0.83,,0.83,,149.08,138.6
Rch2B-3_RM216.1,455738,3000,10.65,10.65,,10.65,,0.84,,0.84,,149.25,138.6
Rch2B-3_RM216.1,455738,3100,10.81,10.81,,10.81,,0.86,,0.86,,149.41,138.6
Rch2B-3_RM216.1,455738,3200,10.97,10.97,,10.97,,0.87,,0.87,,149.57,138.6
Rch2B-3_RM216.1,455738,3300,11.13,11.13,,11.13,,0.89,,0.89,,149.73,138.6
Rch2B-3_RM216.1,455738,3400,11.28,11.28,,11.28,,0.9,,0.9,,149.88,138.6
Rch2B-3_RM216.1,455738,3500,11.42,11.42,,11.42,,0.91,,0.91,,150.02,138.6
Rch2B-3_RM216.1,455738,3600,11.56,11.56,,11.56,,0.93,,0.93,,150.16,138.6
Rch2B-3_RM216.1,455738,3700,11.7,11.7,,11.7,,0.94,,0.94,,150.3,138.6
Rch2B-3_RM216.1,455738,3800,11.82,11.82,,11.82,,0.96,,0.96,,150.42,138.6
Rch2B-3_RM216.1,455738,3900,11.95,11.95,,11.95,,0.97,,0.97,,150.55,138.6
Rch2B-3_RM216.1,455738,4000,12.07,12.07,,12.07,,0.99,,0.99,,150.67,138.6
Rch2B-3_RM216.1,455738,4100,12.19,12.19,,12.19,,1,,1,,150.79,138.6
Rch2B-3_RM216.1,455738,4200,12.31,12.31,,12.31,,1.02,,1.02,,150.91,138.6
Rch2B-3_RM216.1,455738,4300,12.42,12.42,,12.42,,1.03,,1.03,,151.02,138.6
Rch2B-3_RM216.1,455738,4400,12.53,12.53,,12.53,,1.05,,1.05,,151.13,138.6
Rch2B-3_RM216.1,455738,4500,12.64,12.64,,12.64,,1.06,,1.06,,151.24,138.6
,,,,,,,,,,,,,
Rch2B-3_RM216.1,455718,100,0.72,0.72,,0.72,,0.41,,0.41,,139.32,138.6
Rch2B-3_RM216.1,455718,200,1.58,1.58,,1.58,,0.38,,0.38,,140.18,138.6
Rch2B-3_RM216.1,455718,300,2.27,2.27,,2.27,,0.39,,0.39,,140.87,138.6
Rch2B-3_RM216.1,455718,400,2.85,2.85,,2.85,,0.42,,0.42,,141.45,138.6
Rch2B-3_RM216.1,455718,500,3.37,3.37,,3.37,,0.44,,0.44,,141.97,138.6
Rch2B-3_RM216.1,455718,600,3.85,3.85,,3.85,,0.47,,0.47,,142.45,138.6
Rch2B-3_RM216.1,455718,700,4.29,4.29,,4.29,,0.49,,0.49,,142.89,138.6
Rch2B-3_RM216.1,455718,800,4.7,4.7,,4.7,,0.51,,0.51,,143.3,138.6
Rch2B-3_RM216.1,455718,900,5.1,5.1,,5.1,,0.53,,0.53,,143.7,138.6
Rch2B-3_RM216.1,455718,1000,5.49,5.49,,5.49,,0.54,,0.54,,144.09,138.6
Rch2B-3_RM216.1,455718,1100,5.86,5.86,,5.86,,0.56,,0.56,,144.46,138.6
Rch2B-3_RM216.1,455718,1200,6.21,6.21,,6.21,,0.58,,0.58,,144.81,138.6
Rch2B-3_RM216.1,455718,1300,6.53,6.53,,6.53,,0.59,,0.59,,145.13,138.6
