Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Mariposa Bypass,22275,600,5.93,3.34,1.73,3.39,0.96,0.6,0.37,0.6,0.15,95.1,89.17
Mariposa Bypass,22275,700,6.09,3.49,1.84,3.54,0.92,0.66,0.42,0.67,0.17,95.26,89.17
Mariposa Bypass,22275,800,6.23,3.63,1.95,3.69,0.91,0.73,0.47,0.73,0.18,95.4,89.17
Mariposa Bypass,22275,900,6.36,3.76,2.04,3.82,0.92,0.79,0.51,0.8,0.2,95.53,89.17
Mariposa Bypass,22275,1000,6.5,3.89,2.14,3.96,0.94,0.85,0.55,0.85,0.22,95.67,89.17
Mariposa Bypass,22275,1100,16.31,11,10.46,13.77,2.61,0.1,0.09,0.13,0.03,105.48,89.17
Mariposa Bypass,22275,1200,16.31,11,10.46,13.77,2.61,0.11,0.09,0.15,0.03,105.48,89.17
Mariposa Bypass,22275,1300,16.31,11,10.46,13.77,2.61,0.12,0.1,0.16,0.04,105.48,89.17
Mariposa Bypass,22275,1400,16.31,11,10.46,13.77,2.61,0.13,0.11,0.17,0.04,105.48,89.17
Mariposa Bypass,22275,1500,16.31,11,10.46,13.77,2.61,0.14,0.12,0.18,0.04,105.48,89.17
Mariposa Bypass,22275,1600,16.31,11,10.46,13.77,2.61,0.15,0.13,0.2,0.05,105.48,89.17
Mariposa Bypass,22275,1700,16.31,11,10.46,13.77,2.61,0.16,0.13,0.21,0.05,105.48,89.17
Mariposa Bypass,22275,1800,16.31,11,10.46,13.77,2.61,0.17,0.14,0.22,0.05,105.48,89.17
Mariposa Bypass,22275,1900,16.31,11,10.46,13.77,2.61,0.18,0.15,0.23,0.06,105.48,89.17
Mariposa Bypass,22275,2000,16.31,11,10.46,13.77,2.61,0.19,0.16,0.24,0.06,105.48,89.17
Mariposa Bypass,22275,2100,16.31,11,10.46,13.77,2.61,0.2,0.16,0.26,0.06,105.48,89.17
Mariposa Bypass,22275,2200,16.31,11,10.46,13.77,2.61,0.21,0.17,0.27,0.06,105.48,89.17
Mariposa Bypass,22275,2300,16.31,11,10.46,13.77,2.61,0.22,0.18,0.28,0.07,105.48,89.17
Mariposa Bypass,22275,2400,16.31,11,10.46,13.77,2.61,0.23,0.19,0.29,0.07,105.48,89.17
Mariposa Bypass,22275,2500,16.31,11,10.46,13.77,2.61,0.24,0.2,0.31,0.07,105.48,89.17
Mariposa Bypass,22275,2600,16.31,11,10.46,13.77,2.61,0.25,0.2,0.32,0.08,105.48,89.17
Mariposa Bypass,22275,2700,16.31,11,10.46,13.77,2.61,0.26,0.21,0.33,0.08,105.48,89.17
Mariposa Bypass,22275,2800,16.31,11,10.46,13.77,2.61,0.26,0.22,0.34,0.08,105.48,89.17
Mariposa Bypass,22275,2900,16.31,11,10.46,13.77,2.61,0.27,0.23,0.36,0.08,105.48,89.17
Mariposa Bypass,22275,3000,16.31,11,10.46,13.77,2.61,0.28,0.24,0.37,0.09,105.48,89.17
Mariposa Bypass,22275,3100,16.31,11,10.46,13.77,2.61,0.29,0.24,0.38,0.09,105.48,89.17
Mariposa Bypass,22275,3200,16.31,11,10.46,13.77,2.61,0.3,0.25,0.39,0.09,105.48,89.17
Mariposa Bypass,22275,3300,16.31,11,10.46,13.77,2.61,0.31,0.26,0.4,0.1,105.48,89.17
Mariposa Bypass,22275,3400,16.29,10.47,3.47,13.75,2.59,0.77,0.33,0.81,0.19,105.46,89.17
Mariposa Bypass,22275,3500,16.29,10.47,3.47,13.75,2.59,0.79,0.34,0.84,0.2,105.46,89.17
Mariposa Bypass,22275,3600,16.29,10.47,3.47,13.75,2.59,0.81,0.35,0.86,0.2,105.46,89.17
