Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
Rch2A_RM228.8,572874,PF 31,3100,514.82,20.56,32.31,567.68
Rch2A_RM228.8,572874,PF 32,3200,517.81,21.89,34.88,574.58
Rch2A_RM228.8,572874,PF 33,3300,520.6,23.4,37.95,581.96
Rch2A_RM228.8,572874,PF 34,3400,523.12,24.94,41.37,589.43
Rch2A_RM228.8,572874,PF 35,3500,525.38,26.81,44.93,597.12
Rch2A_RM228.8,572874,PF 36,3600,527.9,28.22,48.36,604.48
Rch2A_RM228.8,572874,PF 37,3700,530.88,29.64,51.51,612.04
Rch2A_RM228.8,572874,PF 38,3800,533.38,31.04,55.3,619.72
Rch2A_RM228.8,572874,PF 39,3900,535.55,32.55,59.55,627.65
Rch2A_RM228.8,572874,PF 40,4000,537.61,33.92,63.93,635.46
Rch2A_RM228.8,572874,PF 41,4100,539.54,35.66,68.07,643.27
Rch2A_RM228.8,572874,PF 42,4200,541.46,36.86,72.57,650.88
Rch2A_RM228.8,572874,PF 43,4300,543.71,37.98,76.81,658.5
Rch2A_RM228.8,572874,PF 44,4400,545.91,39.29,81.65,666.85
Rch2A_RM228.8,572874,PF 45,4500,547.91,40.68,87.52,676.11
,,,,,,,
Rch2A_RM228.8,572242,PF 1,100,188.35,3.71,4.66,196.71
Rch2A_RM228.8,572242,PF 2,200,228.05,4.51,5.24,237.8
Rch2A_RM228.8,572242,PF 3,300,254.8,5.02,5.96,265.77
Rch2A_RM228.8,572242,PF 4,400,279.43,5.37,6.58,291.38
Rch2A_RM228.8,572242,PF 5,500,298.19,5.7,7,310.88
Rch2A_RM228.8,572242,PF 6,600,319.7,6.41,7.34,333.45
Rch2A_RM228.8,572242,PF 7,700,338.35,6.83,7.82,353.01
Rch2A_RM228.8,572242,PF 8,800,349.56,7.08,8.35,365
Rch2A_RM228.8,572242,PF 9,900,363.68,7.33,8.93,379.93
Rch2A_RM228.8,572242,PF 10,1000,376.24,7.74,9.28,393.26
Rch2A_RM228.8,572242,PF 11,1100,387.05,8.04,9.71,404.8
Rch2A_RM228.8,572242,PF 12,1200,397.63,8.47,10.42,416.52
Rch2A_RM228.8,572242,PF 13,1300,405.45,8.7,11.55,425.69
Rch2A_RM228.8,572242,PF 14,1400,414.28,8.92,12.7,435.9
Rch2A_RM228.8,572242,PF 15,1500,424.33,9.15,13.49,446.97
Rch2A_RM228.8,572242,PF 16,1600,433.65,9.46,14.18,457.29
Rch2A_RM228.8,572242,PF 17,1700,441.88,9.93,15.08,466.9
Rch2A_RM228.8,572242,PF 18,1800,448.19,10.31,15.74,474.24
Rch2A_RM228.8,572242,PF 19,1900,455.84,10.85,16.53,483.22
Rch2A_RM228.8,572242,PF 20,2000,463.31,11.4,17.51,492.22
Rch2A_RM228.8,572242,PF 21,2100,470.09,11.92,18.43,500.44
Rch2A_RM228.8,572242,PF 22,2200,475.87,12.59,19.42,507.88
Rch2A_RM228.8,572242,PF 23,2300,481.6,13.49,20.58,515.68
Rch2A_RM228.8,572242,PF 24,2400,485.75,14.34,21.71,521.8
Rch2A_RM228.8,572242,PF 25,2500,489.71,14.98,22.66,527.34
Rch2A_RM228.8,572242,PF 26,2600,493.59,15.53,23.91,533.03
Rch2A_RM228.8,572242,PF 27,2700,497.18,16.21,25.36,538.75
Rch2A_RM228.8,572242,PF 28,2800,500.5,17.1,27.18,544.79
Rch2A_RM228.8,572242,PF 29,2900,503.63,18.25,28.68,550.56
Rch2A_RM228.8,572242,PF 30,3000,506.52,19.46,30.41,556.38
Rch2A_RM228.8,572242,PF 31,3100,509.61,20.56,32.31,562.48
Rch2A_RM228.8,572242,PF 32,3200,512.58,21.89,34.88,569.35
Rch2A_RM228.8,572242,PF 33,3300,515.36,23.4,37.95,576.71
Rch2A_RM228.8,572242,PF 34,3400,517.85,24.94,41.37,584.16
Rch2A_RM228.8,572242,PF 35,3500,520.08,26.81,44.93,591.82
Rch2A_RM228.8,572242,PF 36,3600,522.52,28.22,48.36,599.1
Rch2A_RM228.8,572242,PF 37,3700,525.41,29.64,51.51,606.57
Rch2A_RM228.8,572242,PF 38,3800,527.78,31.04,55.3,614.12
Rch2A_RM228.8,572242,PF 39,3900,529.84,32.55,59.55,621.93
Rch2A_RM228.8,572242,PF 40,4000,531.79,33.92,63.93,629.63
