Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
Rch1_Simplified,655040,PF 42,4200,286.08,257.76,342.02,885.86
Rch1_Simplified,655040,PF 43,4300,286.12,261.52,347.38,895.02
Rch1_Simplified,655040,PF 44,4400,286.14,265.25,351.81,903.2
Rch1_Simplified,655040,PF 45,4500,286.16,269.1,356.8,912.06
,,,,,,,
Rch1_Simplified,654593,PF 1,100,158.61,10.9,21.23,190.74
Rch1_Simplified,654593,PF 2,200,172.4,13.76,26.96,213.12
Rch1_Simplified,654593,PF 3,300,186.7,16.36,34.85,237.9
Rch1_Simplified,654593,PF 4,400,199.76,20.14,45.9,265.8
Rch1_Simplified,654593,PF 5,500,211.39,26.39,57.34,295.12
Rch1_Simplified,654593,PF 6,600,223.59,33.66,69.98,327.23
Rch1_Simplified,654593,PF 7,700,236.21,43.56,81.48,361.25
Rch1_Simplified,654593,PF 8,800,244.72,53.22,92.28,390.22
Rch1_Simplified,654593,PF 9,900,251.97,64.2,103.21,419.37
Rch1_Simplified,654593,PF 10,1000,258.07,73.93,113.42,445.42
Rch1_Simplified,654593,PF 11,1100,264.05,83.16,123.47,470.68
Rch1_Simplified,654593,PF 12,1200,269.26,93.93,133.42,496.61
Rch1_Simplified,654593,PF 13,1300,272.17,101.56,142.75,516.48
Rch1_Simplified,654593,PF 14,1400,274.33,109.1,150.2,533.62
Rch1_Simplified,654593,PF 15,1500,276.15,115.9,157.04,549.09
Rch1_Simplified,654593,PF 16,1600,277.55,122.19,163.69,563.44
Rch1_Simplified,654593,PF 17,1700,278.8,128.32,170.6,577.72
Rch1_Simplified,654593,PF 18,1800,279.78,135.05,179.83,594.65
Rch1_Simplified,654593,PF 19,1900,280.52,141.13,188.14,609.79
Rch1_Simplified,654593,PF 20,2000,281.08,147.42,196.36,624.86
Rch1_Simplified,654593,PF 21,2100,281.56,153,204.65,639.21
Rch1_Simplified,654593,PF 22,2200,281.93,158.06,212.9,652.89
Rch1_Simplified,654593,PF 23,2300,282.24,163.92,220.99,667.15
Rch1_Simplified,654593,PF 24,2400,282.54,169.16,228.77,680.46
Rch1_Simplified,654593,PF 25,2500,282.82,174.95,236.61,694.38
Rch1_Simplified,654593,PF 26,2600,283.07,180.49,244.48,708.04
Rch1_Simplified,654593,PF 27,2700,283.32,185.01,252.04,720.37
Rch1_Simplified,654593,PF 28,2800,283.52,190.05,258.52,732.09
Rch1_Simplified,654593,PF 29,2900,283.7,195.44,264.81,743.95
Rch1_Simplified,654593,PF 30,3000,283.85,200.38,271.12,755.35
Rch1_Simplified,654593,PF 31,3100,284,205.15,276.47,765.62
Rch1_Simplified,654593,PF 32,3200,284.11,209.38,282.64,776.12
Rch1_Simplified,654593,PF 33,3300,284.2,215.11,288.37,787.68
Rch1_Simplified,654593,PF 34,3400,284.27,219.74,294.31,798.31
Rch1_Simplified,654593,PF 35,3500,284.33,224.98,299.79,809.1
Rch1_Simplified,654593,PF 36,3600,284.4,229.58,305.68,819.65
Rch1_Simplified,654593,PF 37,3700,284.46,235.73,311.72,831.91
Rch1_Simplified,654593,PF 38,3800,284.52,240.41,318.03,842.96
Rch1_Simplified,654593,PF 39,3900,284.56,245.26,321.18,851.01
Rch1_Simplified,654593,PF 40,4000,284.6,249.31,326.83,860.74
Rch1_Simplified,654593,PF 41,4100,284.64,253.57,331.94,870.15
Rch1_Simplified,654593,PF 42,4200,284.67,257.69,336.87,879.24
Rch1_Simplified,654593,PF 43,4300,284.7,261.45,342.21,888.36
Rch1_Simplified,654593,PF 44,4400,284.73,265.18,346.62,896.52
Rch1_Simplified,654593,PF 45,4500,284.75,269.02,351.59,905.37
,,,,,,,
Rch1_Simplified,654293,PF 1,100,158.35,10.9,20.08,189.33
Rch1_Simplified,654293,PF 2,200,172.03,13.76,25.45,211.24
Rch1_Simplified,654293,PF 3,300,186.26,16.36,32.97,235.59
Rch1_Simplified,654293,PF 4,400,198.81,20.14,43.3,262.25
Rch1_Simplified,654293,PF 5,500,210.4,26.39,54.37,291.16
Rch1_Simplified,654293,PF 6,600,222.59,33.66,66.81,323.06
Rch1_Simplified,654293,PF 7,700,235.2,43.56,78.14,356.9
Rch1_Simplified,654293,PF 8,800,243.7,53.22,88.79,385.71
Rch1_Simplified,654293,PF 9,900,250.94,64.2,99.61,414.75
Rch1_Simplified,654293,PF 10,1000,257.03,73.93,109.76,440.72
Rch1_Simplified,654293,PF 11,1100,263.01,83.16,119.74,465.91
Rch1_Simplified,654293,PF 12,1200,268.2,93.93,129.65,491.78
Rch1_Simplified,654293,PF 13,1300,271.11,101.56,138.96,511.63
Rch1_Simplified,654293,PF 14,1400,273.27,109.1,146.38,528.74
Rch1_Simplified,654293,PF 15,1500,275.08,115.9,153.2,544.18
Rch1_Simplified,654293,PF 16,1600,276.48,122.19,159.83,558.5
Rch1_Simplified,654293,PF 17,1700,277.73,128.31,166.72,572.76
Rch1_Simplified,654293,PF 18,1800,278.7,135.04,175.93,589.66
Rch1_Simplified,654293,PF 19,1900,279.44,141.12,184.21,604.78
Rch1_Simplified,654293,PF 20,2000,280,147.4,192.41,619.81
Rch1_Simplified,654293,PF 21,2100,280.48,152.98,200.68,634.13
Rch1_Simplified,654293,PF 22,2200,280.85,158.04,208.89,647.78
Rch1_Simplified,654293,PF 23,2300,281.16,163.9,216.94,662
Rch1_Simplified,654293,PF 24,2400,281.46,169.13,224.69,675.28
Rch1_Simplified,654293,PF 25,2500,281.74,174.93,232.51,689.17
Rch1_Simplified,654293,PF 26,2600,281.99,180.46,240.35,702.81
Rch1_Simplified,654293,PF 27,2700,282.23,184.99,247.9,715.12
Rch1_Simplified,654293,PF 28,2800,282.43,190.02,254.35,726.81
Rch1_Simplified,654293,PF 29,2900,282.62,195.41,260.62,738.64
Rch1_Simplified,654293,PF 30,3000,282.77,200.34,266.91,750.02
Rch1_Simplified,654293,PF 31,3100,282.92,205.11,272.22,760.26
Rch1_Simplified,654293,PF 32,3200,283.02,209.34,278.37,770.73
Rch1_Simplified,654293,PF 33,3300,283.11,215.08,284.07,782.26
Rch1_Simplified,654293,PF 34,3400,283.18,219.7,289.98,792.87
Rch1_Simplified,654293,PF 35,3500,283.25,224.94,295.45,803.64
Rch1_Simplified,654293,PF 36,3600,283.31,229.54,301.32,814.17
Rch1_Simplified,654293,PF 37,3700,283.37,235.69,307.34,826.41
Rch1_Simplified,654293,PF 38,3800,283.43,240.37,313.63,837.44
Rch1_Simplified,654293,PF 39,3900,283.48,245.22,316.79,845.49
Rch1_Simplified,654293,PF 40,4000,283.52,249.27,322.42,855.2
Rch1_Simplified,654293,PF 41,4100,283.55,253.53,327.5,864.58
Rch1_Simplified,654293,PF 42,4200,283.58,257.65,332.4,873.63
