Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Connect,107716,1500,6.41,4.38,,4.77,0.11,1.59,,1.59,0.1,103.14,96.73
Connect,107716,1600,6.54,4.35,,4.87,0.18,1.64,,1.65,0.14,103.27,96.73
Connect,107716,1700,6.66,4.32,,4.99,0.25,1.7,,1.71,0.18,103.39,96.73
Connect,107716,1800,6.78,4.22,,5.09,0.28,1.75,,1.77,0.21,103.51,96.73
Connect,107716,1900,6.89,4.15,,5.19,0.33,1.8,,1.83,0.23,103.62,96.73
Connect,107716,2000,6.99,4.15,,5.29,0.4,1.85,,1.88,0.26,103.72,96.73
Connect,107716,2100,7.1,4.12,,5.38,0.45,1.89,,1.94,0.28,103.83,96.73
Connect,107716,2200,7.2,4.08,0,5.48,0.49,1.93,0.01,1.99,0.3,103.93,96.73
Connect,107716,2300,7.3,4,0.05,5.58,0.52,1.97,0.09,2.04,0.31,104.03,96.73
Connect,107716,2400,7.4,3.94,0.1,5.68,0.56,2.01,0.14,2.09,0.33,104.13,96.73
Connect,107716,2500,7.49,3.98,0.15,5.77,0.63,2.04,0.18,2.14,0.36,104.22,96.73
Connect,107716,2600,7.58,4.02,0.2,5.86,0.7,2.07,0.22,2.18,0.39,104.31,96.73
Connect,107716,2700,7.67,4.06,0.25,5.95,0.77,2.11,0.26,2.23,0.42,104.4,96.73
Connect,107716,2800,7.76,4.08,0.31,6.04,0.82,2.14,0.3,2.27,0.45,104.49,96.73
Connect,107716,2900,7.84,4.07,0.37,6.13,0.85,2.17,0.35,2.32,0.47,104.57,96.73
Connect,107716,3000,7.93,4.07,0.42,6.21,0.9,2.2,0.38,2.36,0.5,104.66,96.73
Connect,107716,3100,8.01,4.08,0.48,6.29,0.94,2.23,0.42,2.4,0.52,104.74,96.73
Connect,107716,3200,8.09,4.04,0.53,6.37,0.95,2.25,0.45,2.44,0.55,104.82,96.73
Connect,107716,3300,8.17,3.99,0.58,6.45,0.96,2.28,0.48,2.48,0.57,104.9,96.73
Connect,107716,3400,8.25,3.95,0.63,6.53,0.98,2.3,0.51,2.52,0.58,104.98,96.73
Connect,107716,3500,8.32,3.96,0.67,6.6,1.02,2.32,0.54,2.56,0.58,105.05,96.73
Connect,107716,3600,8.4,4.02,0.71,6.68,1.08,2.35,0.57,2.6,0.61,105.13,96.73
Connect,107716,3700,8.47,4.08,0.75,6.75,1.15,2.37,0.59,2.63,0.63,105.2,96.73
Connect,107716,3800,8.54,4.13,0.71,6.82,1.21,2.39,0.58,2.67,0.66,105.27,96.73
Connect,107716,3900,8.61,4.17,0.69,6.89,1.27,2.41,0.57,2.7,0.68,105.34,96.73
Connect,107716,4000,8.68,4.21,0.64,6.96,1.34,2.43,0.55,2.74,0.7,105.41,96.73
Connect,107716,4100,8.75,4.25,0.6,7.04,1.4,2.45,0.53,2.77,0.73,105.48,96.73
Connect,107716,4200,8.82,4.25,0.58,7.1,1.44,2.47,0.52,2.8,0.75,105.55,96.73
Connect,107716,4300,8.89,4.19,0.42,7.17,1.47,2.49,0.51,2.83,0.77,105.62,96.73
Connect,107716,4400,8.95,4.17,0.41,7.23,1.51,2.51,0.47,2.87,0.79,105.68,96.73
Connect,107716,4500,9.02,4.16,0.44,7.3,1.54,2.53,0.44,2.9,0.8,105.75,96.73
,,,,,,,,,,,,,
Connect,107660,100,5,1.5,0.07,2.39,0.08,0.78,0.11,0.79,0.09,99.7,94.7
Connect,107660,200,5.56,1.33,0.51,3.89,0.42,0.99,0.65,1.14,0.43,100.26,94.7
Connect,107660,300,6.02,1.47,0.94,2.38,0.85,1.06,1.03,1.17,0.72,100.72,94.7
Connect,107660,400,6.34,1.77,1.24,2.7,1.14,1.15,1.21,1.25,0.86,101.04,94.7
Connect,107660,500,6.63,2.03,1.51,2.99,1.38,1.24,1.36,1.31,0.96,101.33,94.7
Connect,107660,600,6.89,2.27,1.75,3.25,1.62,1.32,1.48,1.37,1.06,101.59,94.7
Connect,107660,700,7.12,2.49,1.96,3.49,1.84,1.39,1.59,1.43,1.15,101.82,94.7
Connect,107660,800,7.33,2.68,2.15,3.69,2.03,1.47,1.7,1.5,1.23,102.03,94.7
Connect,107660,900,7.52,2.85,2.31,3.88,2.18,1.54,1.8,1.56,1.31,102.22,94.7
Connect,107660,1000,7.69,2.99,2.46,4.05,2.32,1.62,1.9,1.63,1.38,102.39,94.7
Connect,107660,1100,7.84,3.13,2.6,4.2,2.45,1.69,2,1.69,1.45,102.54,94.7
Connect,107660,1200,7.99,3.26,2.72,4.35,2.57,1.76,2.09,1.76,1.51,102.69,94.7
Connect,107660,1300,8.13,3.38,2.85,4.49,2.68,1.83,2.18,1.82,1.58,102.83,94.7
Connect,107660,1400,8.26,3.49,2.96,4.63,2.79,1.9,2.26,1.88,1.64,102.96,94.7
Connect,107660,1500,8.39,3.6,3.07,4.75,2.89,1.96,2.35,1.93,1.7,103.09,94.7
Connect,107660,1600,8.51,3.6,3.17,4.87,2.77,2.02,2.44,2,1.74,103.21,94.7
Connect,107660,1700,8.63,3.58,3.27,4.99,2.65,2.08,2.56,2.09,1.68,103.33,94.7
Connect,107660,1800,8.74,3.67,3.36,5.11,2.71,2.13,2.64,2.15,1.73,103.44,94.7
Connect,107660,1900,8.85,3.75,3.45,5.22,2.78,2.18,2.71,2.2,1.77,103.55,94.7
Connect,107660,2000,8.96,3.83,3.53,5.32,2.87,2.24,2.78,2.24,1.82,103.66,94.7
Connect,107660,2100,9.06,3.92,3.61,5.42,2.95,2.29,2.84,2.29,1.87,103.76,94.7
Connect,107660,2200,9.16,4,3.69,5.52,3.03,2.34,2.9,2.34,1.92,103.86,94.7
Connect,107660,2300,9.26,4.08,3.76,5.62,3.11,2.39,2.96,2.38,1.97,103.96,94.7
Connect,107660,2400,9.35,4.16,3.83,5.72,3.18,2.43,3.02,2.42,2.01,104.05,94.7
Connect,107660,2500,9.45,4.23,3.9,5.81,3.25,2.48,3.08,2.47,2.05,104.15,94.7
Connect,107660,2600,9.54,4.24,3.97,5.9,3.2,2.52,3.13,2.51,2.09,104.24,94.7
Connect,107660,2700,9.62,4.27,4.04,5.99,3.21,2.57,3.19,2.55,2.13,104.33,94.7
Connect,107660,2800,9.71,4.3,4.1,6.07,3.21,2.61,3.24,2.59,2.17,104.41,94.7
Connect,107660,2900,9.8,4.32,4.16,6.16,3.19,2.65,3.3,2.64,2.2,104.5,94.7
Connect,107660,3000,9.88,4.33,4.22,6.24,3.17,2.69,3.35,2.68,2.24,104.58,94.7
Connect,107660,3100,9.96,4.34,4.28,6.32,3.15,2.73,3.4,2.72,2.27,104.66,94.7
Connect,107660,3200,10.04,4.34,4.34,6.4,3.12,2.76,3.45,2.75,2.3,104.74,94.7
Connect,107660,3300,10.11,4.36,4.39,6.48,3.11,2.8,3.5,2.79,2.33,104.81,94.7
Connect,107660,3400,10.19,4.38,4.44,6.55,3.13,2.83,3.54,2.83,2.35,104.89,94.7
Connect,107660,3500,10.26,4.41,4.48,6.63,3.13,2.87,3.59,2.87,2.38,104.96,94.7
