Id,River,Habitat,miles,feet,Source,Species,date_updated
6,Butte Creek,rearing,17.14237857,90511.75883,Clint Garman,Fall Run Chinook,6/1/2017
7,Clear Creek,rearing,17.92201493,94628.23881,Matt Brown,Steelhead,6/1/2017
7,Clear Creek,rearing,17.92201493,94628.23881,Matt Brown,Spring Run Chinook,6/1/2017
7,Clear Creek,spawning,10.61382514,56040.99676,Matt Brown,Spring Run Chinook,6/1/2017
7,Clear Creek,spawning,17.92201493,94628.23881,Matt Brown,Steelhead,6/1/2017
6,Butte Creek,rearing,31.66908258,167212.756,Clint Garman,Spring Run Chinook,6/1/2017
6,Butte Creek,spawning,14.54625838,76804.24426,Clint Garman,Steelhead,6/1/2017
6,Butte Creek,rearing,31.66908258,167212.756,Clint Garman,Steelhead,6/1/2017
6,Butte Creek,spawning,14.54625838,76804.24426,Clint Garman,Spring Run Chinook,6/1/2017
5,Big Chico Creek,rearing,23.83776288,125863.388,Clint Garman,Spring Run Chinook,6/1/2017
5,Big Chico Creek,spawning,23.83776288,125863.388,Clint Garman,Spring Run Chinook,6/1/2017
5,Big Chico Creek,spawning,23.83776288,125863.388,Clint Garman,Steelhead,6/1/2017
5,Big Chico Creek,rearing,23.83776288,125863.388,Clint Garman,Steelhead,6/1/2017
9,Cow Creek,spawning,104.3403056,550916.8138,Patricia Bratcher,Steelhead,6/1/2021
9,Cow Creek,rearing,104.3403056,550916.8138,Patricia Bratcher,Steelhead,6/1/2021
3,Battle Creek,rearing,24.40903833,128879.7224,Laurie Earley,Steelhead,6/1/2017
3,Battle Creek,rearing,24.40903833,128879.7224,Laurie Earley,Spring Run Chinook,6/1/2017
3,Battle Creek,spawning,18.53733197,97877.11282,Laurie Earley,Spring Run Chinook,6/1/2017
3,Battle Creek,spawning,18.53733197,97877.11282,Laurie Earley,Steelhead,6/1/2017
8,Cottonwood Creek,spawning,142.2559069,751111.1886,Patricia Bratcher,Steelhead,6/1/2017
8,Cottonwood Creek,spawning,19.36344085,102238.9677,Patricia Bratcher,Spring Run Chinook,6/1/2017
8,Cottonwood Creek,rearing,142.2559069,751111.1886,Patricia Bratcher,Steelhead,6/1/2017
8,Cottonwood Creek,rearing,119.4770198,630838.6647,Patricia Bratcher,Spring Run Chinook,6/1/2017
10,Deer Creek,rearing,47.9215257,253025.6557,Matt Johnson,Steelhead,6/1/2017
10,Deer Creek,spawning,24.75243342,130692.8485,Matt Johnson,Steelhead,6/1/2017
10,Deer Creek,rearing,47.9215257,253025.6557,Matt Johnson,Spring Run Chinook,6/1/2017
10,Deer Creek,spawning,24.75243342,130692.8485,Matt Johnson,Spring Run Chinook,6/1/2017
12,Mill Creek,rearing,53.4904659,282429.6599,Matt Johnson,Steelhead,6/1/2017
12,Mill Creek,spawning,39.43321454,208207.3728,Matt Johnson,Steelhead,6/1/2017
12,Mill Creek,rearing,53.4904659,282429.6599,Matt Johnson,Spring Run Chinook,6/1/2017
12,Mill Creek,spawning,39.43321454,208207.3728,Matt Johnson,Spring Run Chinook,6/1/2017
13,Paynes Creek,rearing,27.81061933,146840.0701,Patricia Bratcher,Steelhead,6/1/2017
13,Paynes Creek,spawning,27.81061933,146840.0701,Patricia Bratcher,Steelhead,6/1/2017
15,Thomes Creek,rearing,42.69661422,225438.1231,Patricia Bratcher,Steelhead,6/1/2017
15,Thomes Creek,spawning,2.767723542,14613.5803,Patricia Bratcher,Spring Run Chinook,6/1/2017
15,Thomes Creek,spawning,26.0621465,137608.1335,Patricia Bratcher,Steelhead,6/1/2017
15,Thomes Creek,rearing,42.69661422,225438.1231,Patricia Bratcher,Spring Run Chinook,6/1/2017
27,Mokelumne River,rearing,58.39758715,308339.2601,Robyn Bilski,Fall Run Chinook,6/1/2017
1,Upper Sacramento River,spawning,59.35011612,313368.6131,Jim Smith,Spring Run Chinook,6/1/2017
1,Upper Sacramento River,spawning,59.35011612,313368.6131,Jim Smith,Steelhead,6/1/2017
1,Upper Sacramento River,rearing,59.1856797,312500.3888,Jim Smith,Spring Run Chinook,6/1/2017
1,Upper Sacramento River,rearing,59.1856797,312500.3888,Jim Smith,Steelhead,6/1/2017
2,Antelope Creek,spawning,23.68558393,125059.8832,Matt Johnson,Spring Run Chinook,6/1/2017
2,Antelope Creek,rearing,31.619077,166948.7266,Matt Johnson,Spring Run Chinook,6/1/2017
2,Antelope Creek,spawning,23.68558393,125059.8832,Matt Johnson,Steelhead,6/1/2017
2,Antelope Creek,rearing,31.619077,166948.7266,Matt Johnson,Steelhead,6/1/2017
4,Bear Creek,spawning,17.1039074,90308.63108,Tricia Bratcher,Steelhead,6/1/2017
4,Bear Creek,rearing,17.29622259,91324.05527,Tricia Bratcher,Steelhead,6/1/2017
11,Elder Creek,spawning,7.100790771,37492.17527,Tricia Bratcher,Steelhead,6/1/2017
11,Elder Creek,rearing,7.100790771,37492.17527,Tricia Bratcher,Steelhead,6/1/2017
14,Stony Creek,rearing,26.12097322,137918.7386,Clint Garman,Steelhead,6/1/2017
14,Stony Creek,spawning,26.12097322,137918.7386,Clint Garman,Steelhead,6/1/2017
16,Upper-mid Sacramento River,rearing,122.4500363,646536.1918,Mike Urkov,Spring Run Chinook,6/1/2017
16,Upper-mid Sacramento River,rearing,122.4500363,646536.1918,Mike Urkov,Steelhead,6/1/2017
18,Bear River,spawning,32.05040745,169226.1513,Justin Wood,Steelhead,6/1/2017
18,Bear River,rearing,32.05040745,169226.1513,Justin Wood,Steelhead,6/1/2017
19,Feather River,spawning,18.02306993,95161.80926,Ryon Kurth,Spring Run Chinook,6/1/2017
19,Feather River,rearing,64.98259689,343108.1116,Ryon Kurth,Spring Run Chinook,6/1/2017
19,Feather River,spawning,18.02306993,95161.80926,Ryon Kurth,Steelhead,6/1/2017
19,Feather River,rearing,64.98259689,343108.1116,Ryon Kurth,Steelhead,6/1/2017
20,Yuba River,spawning,20.57897765,108657.002,Paul Bratovich,Spring Run Chinook,6/1/2017
20,Yuba River,rearing,23.07203069,121820.3221,Paul Bratovich,Spring Run Chinook,6/1/2017
20,Yuba River,spawning,20.57897765,108657.002,Paul Bratovich,Steelhead,6/1/2017
20,Yuba River,rearing,23.07203069,121820.3221,Paul Bratovich,Steelhead,6/1/2017
21,Lower-mid Sacramento River,rearing,57.9625096,306042.0507,Mike Urkov,Spring Run Chinook,6/1/2017
21,Lower-mid Sacramento River,rearing,57.9625096,306042.0507,Mike Urkov,Steelhead,6/1/2017
23,American River,spawning,17.87932222,94402.82132,Chris Hammersmark,Steelhead,6/1/2017
23,American River,rearing,22.81160102,120445.2534,Chris Hammersmark,Steelhead,6/1/2017
24,Lower Sacramento River,rearing,13.70219179,72347.57263,Mike Urkov,Spring Run Chinook,6/1/2017
24,Lower Sacramento River,rearing,13.70219179,72347.57263,Mike Urkov,Steelhead,6/1/2017
25,Calaveras River,rearing,18.48333097,97591.98753,Trevor Kennedy,Steelhead,6/1/2017
25,Calaveras River,spawning,12.28513854,64865.5315,Trevor Kennedy,Steelhead,6/1/2017
26,Cosumnes River,spawning,13.95485198,73681.61843,Trevor Kennedy,Steelhead,6/1/2017
26,Cosumnes River,rearing,41.33881817,218268.9599,Trevor Kennedy,Steelhead,6/1/2017
27,Mokelumne River,spawning,10.10447035,53351.60343,Matt Saldate,Steelhead,6/1/2017
27,Mokelumne River,rearing,58.39758715,308339.2601,Robyn Bilski,Steelhead,6/1/2017
27,Mokelumne River,spawning,10.10447035,53351.60343,Matt Saldate,Spring Run Chinook,6/1/2017
27,Mokelumne River,rearing,58.39758715,308339.2601,Robyn Bilski,Spring Run Chinook,6/1/2017
28,Merced River,rearing,51.75938823,273289.5698,Steve Tsao,Steelhead,6/1/2017
29,Stanislaus River,rearing,60.31270415,318451.0779,Domenic Giudice,Steelhead,6/1/2017
29,Stanislaus River,spawning,25.56767194,134997.3078,Domenic Giudice,Steelhead,6/1/2017
30,Tuolumne River,spawning,20.81399683,109897.9033,Gretchen Murphey,Steelhead,6/1/2017
30,Tuolumne River,rearing,54.33113935,286868.4158,Wikert John,Steelhead,6/1/2017
31,San Joaquin River,rearing,45.68033098,241192.1476,Mike Urkov,Steelhead,6/1/2017
29,Stanislaus River,rearing,60.31270415,318451.0779,Domenic Giudice,Spring Run Chinook,6/1/2017
29,Stanislaus River,spawning,25.56767194,134997.3078,Domenic Giudice,Spring Run Chinook,6/1/2017
30,Tuolumne River,spawning,20.81399683,109897.9033,Gretchen Murphey,Spring Run Chinook,6/1/2017
30,Tuolumne River,rearing,54.33113935,286868.4158,Wikert John,Spring Run Chinook,6/1/2017
31,San Joaquin River,rearing,45.68033098,241192.1476,Mike Urkov,Spring Run Chinook,6/1/2017
7,Clear Creek,rearing,6.267401222,33091.87845,Charles Chamberlain,Late-Fall Run Chinook,
7,Clear Creek,spawning,6.267401222,33091.87845,Charles Chamberlain,Late-Fall Run Chinook,
3,Battle Creek,spawning,14.71228347,77680.85671,Laurie Early,Late-Fall Run Chinook,
3,Battle Creek,rearing,16.61707546,87738.15842,Laurie Early,Late-Fall Run Chinook,
1,Upper Sacramento River,spawning,59.35011612,313368.6131,,Late-Fall Run Chinook,
1,Upper Sacramento River,rearing,59.1856797,312500.3888,,Late-Fall Run Chinook,
16,Upper-mid Sacramento River,rearing,122.4500363,646536.1918,,Late-Fall Run Chinook,
21,Lower-mid Sacramento River,rearing,57.9625096,306042.0507,,Late-Fall Run Chinook,
24,Lower Sacramento River,rearing,13.70219179,72347.57263,,Late-Fall Run Chinook,
0,Sacramento River (Battle to Feather),,189.1066895,998483.3207,,Late-Fall Run Chinook,
0,Sacramento River (keswick to battle),,55.52113461,293151.5907,,Late-Fall Run Chinook,
0,Sacramento River (Feather to Freeport),,33.4367971,176546.2887,,Late-Fall Run Chinook,
0,Lower-mid Sac above fremont,,35.55310571,187720.3981,,Late-Fall Run Chinook,
0,Lower-mid Sac below fremont,,22.40940389,118321.6526,,Late-Fall Run Chinook,
