# Qw	Qs_PARKER	Qs_WILCOCK	Qs_GAEUMAN
210.000000	0.000000	0.000000	0.000000
500.000000	0.002296	0.000374	0.000921
750.000000	0.039411	0.004164	0.009499
1000.000000	0.117321	0.012756	0.026997
1250.000000	0.161201	0.017798	0.037400
1500.000000	0.200722	0.022150	0.046881
2000.000000	0.350774	0.038068	0.080605
2240.000000	0.453349	0.049097	0.103248
