# Qw	Qs_PARKER	Qs_WILCOCK	Qs_GAEUMAN
210.000000	0.000000	0.000000	0.000000
500.000000	0.000000	0.000002	0.000006
750.000000	0.000580	0.000197	0.000473
1000.000000	0.011193	0.001630	0.004026
1250.000000	0.053429	0.005928	0.013987
1500.000000	0.123463	0.013390	0.029887
2000.000000	0.354775	0.040912	0.083997
2240.000000	0.494308	0.059702	0.118785
