# Qw	Qs_PARKER	Qs_WILCOCK	Qs_GAEUMAN
210.000000	0.000000	0.000000	0.000000
500.000000	0.000310	0.000156	0.000389
750.000000	0.018411	0.002623	0.006492
1000.000000	0.084602	0.009154	0.021920
1250.000000	0.190569	0.019950	0.045610
1500.000000	0.342340	0.035955	0.079290
2000.000000	0.688864	0.075709	0.158008
2240.000000	0.871958	0.098015	0.200638
