# Qw	Qs_PARKER	Qs_WILCOCK	Qs_GAEUMAN
210.000000	0.477822	0.048486	0.093805
500.000000	0.526303	0.063739	0.117932
750.000000	0.354097	0.040850	0.078540
1000.000000	0.166551	0.013227	0.028952
1250.000000	0.387714	0.047175	0.089965
1500.000000	0.492662	0.061378	0.115479
2000.000000	0.906476	0.117989	0.215345
2240.000000	1.105022	0.148432	0.267280
